"PROVINCIA,C,50","CANTON,C,50","PARROQUIA,C,100","DISTRITO,C,250","CIRCUITO,C,250","NOMBRE,C,100","NIVEL,C,50","TIPOLOGIA,C,50","INSTITUCIO,C,50","X,N,19,11","Y,N,19,11"
LOS RIOS,MOCACHE,MOCACHE,QUEVEDO-MOCACHE,MOCACHE,AGUAS FRIAS,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.47399555610,-1.29794146435
CHIMBORAZO,GUAMOTE,GUAMOTE,COLTA-GUAMOTE,GUAMOTE,DISPENSARIO TOTORILLAS,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.70358583120,-2.04029390833
ESMERALDAS,ELOY ALFARO,SELVA ALEGRE,ELOY ALFARO,LUIS V. TORRES (CAB. EN PLAYA DE ORO)-SELVA ALEGRE-COLON ELOY DEL MARIA-MALDONADO-TIMBIRE,SELVA ALEGRE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.85721000000,0.93587000001
ESMERALDAS,ELOY ALFARO,TIMBIR╔,ELOY ALFARO,LUIS V. TORRES (CAB. EN PLAYA DE ORO)-SELVA ALEGRE-COLON ELOY DEL MARIA-MALDONADO-TIMBIRE,TIMBIRE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.86316000000,0.96179999997
ESMERALDAS,MUISNE,MUISNE,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,NUEVO MUISNE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.93825742120,0.63344647617
ESMERALDAS,MUISNE,MUISNE,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,SAN MIGUEL DE BILSA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.90334000000,0.62959000003
ESMERALDAS,MUISNE,MUISNE,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,MOMPICHE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.01972000000,0.50859000003
ESMERALDAS,MUISNE,BOL═VAR,MUISNE-ATACAMES,BOLIVAR-DAULE,PORTETE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-80.04565000000,0.48380000004
ESMERALDAS,MUISNE,BOL═VAR,MUISNE-ATACAMES,BOLIVAR-DAULE,BOLIVAR,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.04018000000,0.45149000002
ESMERALDAS,MUISNE,DAULE,MUISNE-ATACAMES,BOLIVAR-DAULE,PEDRO CARBO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.97441000000,0.37234999998
ESMERALDAS,MUISNE,DAULE,MUISNE-ATACAMES,BOLIVAR-DAULE,DAULE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.01002000000,0.40904000001
ESMERALDAS,MUISNE,GALERA,MUISNE-ATACAMES,GALERA-SAN FRANCISCO-QUINGUE (OLMEDO PERDOMO FRANCO),ESTERO DE PLATANO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.08645000000,0.77979000000
ESMERALDAS,MUISNE,QUINGUE (OLMEDO PERDOMO FRANCO),MUISNE-ATACAMES,GALERA-SAN FRANCISCO-QUINGUE (OLMEDO PERDOMO FRANCO),DISPENSARIO QUINGUE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.09436226500,0.71848789662
ESMERALDAS,MUISNE,SALIMA,MUISNE-ATACAMES,SALIMA-SAN JOSE DE CHAMANGA,SALIMA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.96194000000,0.32862999997
ESMERALDAS,MUISNE,SAN FRANCISCO,MUISNE-ATACAMES,GALERA-SAN FRANCISCO-QUINGUE (OLMEDO PERDOMO FRANCO),DISPENSARIO TONGORACHI,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.06138088850,0.66469499490
ESMERALDAS,MUISNE,SAN FRANCISCO,MUISNE-ATACAMES,GALERA-SAN FRANCISCO-QUINGUE (OLMEDO PERDOMO FRANCO),CABO SAN FRANCISCO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-80.06305000000,0.66000999997
ESMERALDAS,MUISNE,SAN GREGORIO,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,DISPENSARIO BOCA DEL SUCIO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.93529222010,0.54923584526
ESMERALDAS,MUISNE,SAN GREGORIO,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,SAN GREGORIO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.96786000000,0.53236000002
GUAYAS,SAMBORONDËN,TARIFA,SAMBORONDON,TARIFA,SAN GERONIMO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.81971810030,-1.91881695541
ESMERALDAS,MUISNE,SAN GREGORIO,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,SAN SALVADOR,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.85732000000,0.47853000003
ESMERALDAS,MUISNE,SAN GREGORIO,MUISNE-ATACAMES,SAN GREGORIO-MUISNE,BOCA DEL CANUTO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.89565000000,0.57383000002
ESMERALDAS,MUISNE,SAN JOS╔ DE CHAMANGA (CAB.EN  CHAMANGA),MUISNE-ATACAMES,SALIMA-SAN JOSE DE CHAMANGA,CHAMANGA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.95088000000,0.27670999998
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),PADRE ALBERTO BUFFONNY,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-79.47326000000,0.33006000001
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),CUPA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.48857000000,0.37631000003
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),DISPENSARIO EL LIBERTADOR,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.53460111010,0.34356116396
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),DISPENSARIO HERRERA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.57974659530,0.37972589137
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),SIMON BOLIVAR LA SEXTA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.27236000000,0.30555000004
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),UNION Y PROGRESO LA 5TA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.31142000000,0.28946999998
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),LA MARUJITA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.41031000000,0.22895000003
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),SAN ROQUE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.55125915530,0.27759981548
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),DISPENSARIO NUEVA ESMERALDAS,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.53991829660,0.05007654164
MANABI,PICHINCHA,PICHINCHA,PICHINCHA,PICHINCHA,DISPENSARIO EL DESV═O,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.91934242710,-1.03653434262
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),BOCANA DEL BUA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.59974000000,-0.01721999999
ESMERALDAS,QUININD╔,ROSA Z┴RATE (QUININD╔),QUININDE,ROSA ZARATE (QUININDE),DISPENSARIO EL BEL╔N,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.46895323500,0.06024665970
ESMERALDAS,QUININD╔,CUBE,QUININDE,CUBE,ACHICUBE ARRIBA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.61264000000,0.42775999996
BOLIVAR,SAN MIGUEL,SAN VICENTE,CHIMBO-SAN MIGUEL,SANTIAGO-SAN VICENTE,DISPENSARIO UNGUB═,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.99287277350,-1.75344339713
ESMERALDAS,QUININD╔,CUBE,QUININDE,CUBE,CHUCAPLE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.55937000000,0.56060999954
ESMERALDAS,QUININD╔,CUBE,QUININDE,CUBE,CUBE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.63808000000,0.58157999998
ESMERALDAS,QUININD╔,CUBE,QUININDE,CUBE,LA Y DE LA LAGUNA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.63793000000,0.38604000003
ESMERALDAS,QUININD╔,CHURA (CHANCAMA) (CAB. EN EL YERBERO),QUININDE,VICHE-CHURA (CHANCAMA) (CAB. EN EL YERBERO),EL TRIUNFO DEL CALVARIO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.44205000000,0.53806000004
MANABI,PAJ┴N,PAJ┴N,PAJAN,PAJAN,DISPENSARIO VICTOR MANUEL REND,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.49811319540,-1.58584159650
ESMERALDAS,QUININD╔,CHURA (CHANCAMA) (CAB. EN EL YERBERO),QUININDE,VICHE-CHURA (CHANCAMA) (CAB. EN EL YERBERO),CHURA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.48369364540,0.58580582758
ESMERALDAS,QUININD╔,CHURA (CHANCAMA) (CAB. EN EL YERBERO),QUININDE,VICHE-CHURA (CHANCAMA) (CAB. EN EL YERBERO),DISPENSARIO UVE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.49282634670,0.59366062529
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,NARANJAL DE CANANDE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.29852000000,0.44761999999
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,VALLE DEL SADE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.33545000000,0.52501000001
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,ZAPALLO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.24559000000,0.41762999996
GUAYAS,GENERAL ANTONIO ELIZALDE,GENERAL ANTONIO ELIZALDE (BUCAY),EL TRIUNFO-GENERAL ANTONIO ELIZALDE,GRAL. ANTONIO ELIZALDE (BUCAY),U.A.A. BUCAY,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-79.14576805850,-2.20111341891
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,"LA ""T""",PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.19530000000,0.42199000001
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,MALIMPIA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.42648000000,0.41740999997
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,DISPENSARIO RONCA TIGRILLO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.33176585910,0.40625469009
ESMERALDAS,QUININD╔,MALIMPIA,QUININDE,MALIMPIA,DISPENSARIO EL CEDRO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.45435348030,0.41485268018
ESMERALDAS,QUININD╔,VICHE,QUININDE,VICHE-CHURA (CHANCAMA) (CAB. EN EL YERBERO),VICHE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.53903000000,0.65877999997
ESMERALDAS,QUININD╔,LA UNIËN,QUININDE,LA UNION,PLAYA DEL MUERTO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.55827000000,0.14596000004
ESMERALDAS,QUININD╔,LA UNIËN,QUININDE,LA UNION,UNION DE QUININDE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.40352000000,0.13926000004
PICHINCHA,QUITO,CHILLOGALLO,CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA,CHILLOGALLO,QUITO OCCIDENTAL,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.56656866540,-0.26923861793
ESMERALDAS,SAN LORENZO,SAN LORENZO,SAN LORENZO,MATAJE (CAB EN SANTANDER)-SAN LORENZO-ANCON (PICHANGAL) (CAB. EN PALMA REAL),PATRONATO MUNICIPAL MARGARITA GARCES,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.83307000000,1.28644000002
ESMERALDAS,SAN LORENZO,SAN LORENZO,SAN LORENZO,MATAJE (CAB EN SANTANDER)-SAN LORENZO-ANCON (PICHANGAL) (CAB. EN PALMA REAL),U.A.A. SAN LORENZO,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-78.83562631760,1.28316924823
ESMERALDAS,SAN LORENZO,SAN LORENZO,SAN LORENZO,MATAJE (CAB EN SANTANDER)-SAN LORENZO-ANCON (PICHANGAL) (CAB. EN PALMA REAL),DIVINA PROVIDENCIA,SEGUNDO NIVEL,HOSPITAL BASICO|HB,FISCOMISIONAL,-78.83837000000,1.28054000000
ESMERALDAS,SAN LORENZO,ALTO TAMBO (CAB. EN GUADUAL),SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),ALTO TAMBO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.54086000000,0.91790999997
TUNGURAHUA,AMBATO,PILAG▄═N (PILAH▄═N),HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,PILAHUIN,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.72852986120,-1.29728775802
TUNGURAHUA,AMBATO,PILAG▄═N (PILAH▄═N),HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,DISPENSARIO LLANGAHUA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.82956110600,-1.28673115445
TUNGURAHUA,AMBATO,PILAG▄═N (PILAH▄═N),HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,EL SALADO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.85406058500,-1.30456750802
TUNGURAHUA,AMBATO,PILAG▄═N (PILAH▄═N),HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,PILAGUIN (PILAHUIN)-JUAN BENIGNO VELA,MULANLEO,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.76245040450,-1.29230984570
TUNGURAHUA,AMBATO,QUISAPINCHA (QUIZAPINCHA),AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO,QUISAPINCHA (QUIZAPINCHA),QUISAPINCHA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.68158341600,-1.23515035677
TUNGURAHUA,AMBATO,SANTA ROSA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,SANTA ROSA,TOALLO EL QUINCHE,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.66859769200,-1.30379572176
TUNGURAHUA,AMBATO,SANTA ROSA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,SANTA ROSA,DISPENSARIO MIÐARICA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.68213916740,-1.29208991977
TUNGURAHUA,AMBATO,SANTA ROSA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,SANTA ROSA,SANTA ROSA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.66441630800,-1.27972811486
TUNGURAHUA,AMBATO,SANTA ROSA,HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA,SANTA ROSA,MISQUILLI,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.68190670150,-1.31546946381
ESMERALDAS,SAN LORENZO,CARONDELET,SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,DISPENSARIO LA BOCA,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.77164818700,1.13128453227
ESMERALDAS,SAN LORENZO,CARONDELET,SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,CALDERON,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.76190000000,1.18248000002
LOJA,SARAGURO,SELVA ALEGRE,SARAGURO,SELVA ALEGRE-LLUZHAPA,DISPENSARIO VALLE HERMOSO 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.34883713560,-3.54199325818
ESMERALDAS,SAN LORENZO,CARONDELET,SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,CARONDELET,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.75993000000,1.12880999996
ESMERALDAS,SAN LORENZO,5 DE JUNIO (CAB. EN UIMBI),SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),WIMBI ( 5 DE JUNIO ),PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.76945000000,0.96179000002
ESMERALDAS,SAN LORENZO,CONCEPCIËN,SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),CONCEPCION,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.82775000000,1.04090999997
GUAYAS,GENERAL ANTONIO ELIZALDE,GENERAL ANTONIO ELIZALDE (BUCAY),EL TRIUNFO-GENERAL ANTONIO ELIZALDE,GRAL. ANTONIO ELIZALDE (BUCAY),BUCAY (GRAL. ANTONIO ELIZALDE),PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.13880463340,-2.20258257493
ESMERALDAS,SAN LORENZO,CONCEPCIËN,SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),DISPENSARIO GUAYABAL,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.85256077290,0.90911974193
ESMERALDAS,SAN LORENZO,MATAJE (CAB. EN SANTANDER),SAN LORENZO,MATAJE (CAB EN SANTANDER)-SAN LORENZO-ANCON (PICHANGAL) (CAB. EN PALMA REAL),MATAJE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.71291756740,1.35784171381
ESMERALDAS,SAN LORENZO,SAN JAVIER DE CACHAV═ (CAB. EN SAN JAVIER),SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),SAN JAVIER,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.77350000000,1.06959000000
ESMERALDAS,SAN LORENZO,SANTA RITA,SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,SAN FRANCISCO DE  BOGOTA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.70100500000,1.09425899997
ESMERALDAS,SAN LORENZO,SANTA RITA,SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,SANTA  RITA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.72380000000,1.10335999998
ESMERALDAS,SAN LORENZO,TAMBILLO,SAN LORENZO,TAMBILLO,TAMBILLO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.88260000000,1.25958999996
ESMERALDAS,SAN LORENZO,TULULB═ (CAB. EN RICAURTE),SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,DISPENSARIO RICAURTE,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.72915248390,1.17737037820
ESMERALDAS,SAN LORENZO,TULULB═ (CAB. EN RICAURTE),SAN LORENZO,CARONDELET-CALDERON-TULULBI  (CAB EN RICAURTE)-SANTA RITA,RICAURTE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.72688000000,1.18060999995
ESMERALDAS,SAN LORENZO,URBINA,SAN LORENZO,CONCEPCION-SAN JAVIER DE CACHAVI-URBINA-ALTO TAMBO (CAB EN GUADUAL)-5 DE JUNIO (CAB EN UIMBI),URBINA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.76678000000,1.04229000000
CAÐAR,CAÐAR,GENERAL MORALES (SOCARTE),CAÐAR-EL TAMBO-SUSCAL,GENERAL MORALES (SOCARTE)-VENTURA-CHONTAMARCA-DUCUR,SITINCAY,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-79.02561974560,-2.38277431886
ESMERALDAS,ATACAMES,LA UNIËN,MUISNE-ATACAMES,LA UNION,UNION DE ATACAMES,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.86413000000,0.81232999998
ESMERALDAS,ATACAMES,S┌A  (CAB. EN LA BOCANA),MUISNE-ATACAMES,SUA (CAB EN LA BOCANA)-TONCHIGUE,SUA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.86948000000,0.86386999999
IMBABURA,CANTÊN ANTONIO ANTE,IMBAYA (SAN LUIS DE COBUENDO),ANTONIO ANTE-OTAVALO,IMBAYA (SAN LUIS DE COBUENDO)-SAN JOSE DE CHALTURA-SAN FCO. DE NATABUELA,IMBAYA,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.14926148920,0.37233007189
IMBABURA,CANTÊN ANTONIO ANTE,SAN FRANCISCO DE NATABUELA,ANTONIO ANTE-OTAVALO,IMBAYA (SAN LUIS DE COBUENDO)-SAN JOSE DE CHALTURA-SAN FCO. DE NATABUELA,NATABUELA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.19096348360,0.34300247539
IMBABURA,CANTÊN ANTONIO ANTE,SAN FRANCISCO DE NATABUELA,ANTONIO ANTE-OTAVALO,IMBAYA (SAN LUIS DE COBUENDO)-SAN JOSE DE CHALTURA-SAN FCO. DE NATABUELA,DISPENSARIO LOS ËVALOS,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.19579662000,0.32593982370
IMBABURA,CANTÊN ANTONIO ANTE,SAN JOS╔ DE CHALTURA,ANTONIO ANTE-OTAVALO,IMBAYA (SAN LUIS DE COBUENDO)-SAN JOSE DE CHALTURA-SAN FCO. DE NATABUELA,CHALTURA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.19333764490,0.35807586773
IMBABURA,CANTÊN ANTONIO ANTE,SAN ROQUE,ANTONIO ANTE-OTAVALO,SAN ROQUE,DISPENSARIO YANAYACU,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.23093081670,0.31918158997
SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,SANTA MAR═A DEL TOACHI,ALLURIQUI-LUZ DE AMERICA-ESFUERZO-TOACHI-PERIFERIA-RIO VERDE-SANTO DOMINGO-ZARACAY-RIO TOACHI-CHIGUILPE,SANTA MARIA DEL TOACHI,DISPENSARIO SANTA MAR═A DEL TO,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-79.22766648320,-0.63722482754
EL ORO,ARENILLAS,PALMALES,ARENILLAS-LAS LAJAS-HUAQUILLAS,PALMALES,DISPENSARIO VOLUNTAD DE DIOS,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-80.04397121970,-3.65360028342
IMBABURA,CANTÊN ANTONIO ANTE,SAN ROQUE,ANTONIO ANTE-OTAVALO,SAN ROQUE,SAN ROQUE,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.23035183830,0.30699386768
IMBABURA,CANTÊN ANTONIO ANTE,SAN ROQUE,ANTONIO ANTE-OTAVALO,SAN ROQUE,AGUALONGO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-78.23550665970,0.29747051751
IMBABURA,COTACACHI,COTACACHI,COTACACHI,COTACACHI,ASDRUBAL DE LA TORRE,SEGUNDO NIVEL,HOSPITAL BASICO|HB,MSP,-78.26617880910,0.29908679217
IMBABURA,COTACACHI,COTACACHI,COTACACHI,COTACACHI,U.A.A. COTACACHI,PRIMER NIVEL,CENTRO DE SALUD|CS,IESS,-78.26366043740,0.29881651467
CAÐAR,CAÐAR,VENTURA,CAÐAR-EL TAMBO-SUSCAL,GENERAL MORALES (SOCARTE)-VENTURA-CHONTAMARCA-DUCUR,VENTURA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-79.12614608500,-2.24740748570
SUCUMBIOS,LAGO AGRIO,NUEVA LOJA,LAGO AGRIO,NUEVA LOJA,AEROPUERTO,PRIMER NIVEL,PUESTO DE SALUD|PS,MSP,-76.85649357760,0.09680417502
IMBABURA,COTACACHI,APUELA,COTACACHI,6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE)-PLAZA GUTIERREZ (CALVARIO)-APUELA,DISPENSARIO PUCAR┴ 2,PRIMER NIVEL,PUESTO DE SALUD|PS,IESS,-78.49083697270,0.36590793829
IMBABURA,COTACACHI,APUELA,COTACACHI,6 DE JULIO DE CUELLAJE (CAB EN CUELLAJE)-PLAZA GUTIERREZ (CALVARIO)-APUELA,APUELA,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.50731554860,0.36177373825
IMBABURA,COTACACHI,GARC═A MORENO  (LLURIMAGUA),COTACACHI,GARCIA MORENO (LLURIMAGUA),CHONTAL,PRIMER NIVEL,CENTRO DE SALUD|CS,MSP,-78.74843107270,0.24041724015
